,pop_est,continent,name,iso_a3,gdp_md_est,geometry,2015,2016,2017,2018,2019,coords
0,5347896.0,Europe,Norway,NOR,403336,"MULTIPOLYGON (((15.142820000000002 79.67431, 15.52255 80.01608, 16.990850000000002 80.05086, 18.25183 79.70175, 21.54383 78.95611, 19.02737 78.5626, 18.47172 77.82669, 17.59441 77.63796, 17.1182 76.80941, 15.91315 76.77045, 13.76259 77.38035, 14.669560000000002 77.73565, 13.1706 78.02493, 11.22231 78.8693, 10.44453 79.65239, 13.170770000000001 80.01046000000001, 13.71852 79.66039, 15.142820000000002 79.67431)), ((31.101042202597625 69.55810108805622, 29.399550000000033 69.15692000000013, 28.591929559043194 69.06477692328666, 29.015572950971972 69.76649119737799, 27.732292107867863 70.16419302029625, 26.179622023226244 69.82529897732614, 25.689212680776365 69.09211375596904, 24.735679152126725 68.64955678982146, 23.66204959483076 68.89124746365054, 22.356237827247412 68.84174144151491, 21.244936150810673 69.37044302029308, 20.645592889089528 69.10624726020087, 20.025268995857886 69.0651386583127, 19.878559604581255 68.40719432237258, 17.993868442464333 68.56739126247736, 17.729181756265348 68.01055186631628, 16.768878614985482 68.0139366726314, 16.108712192456778 67.30245555283689, 15.108411492583002 66.19386688909547, 13.55568973150909 64.78702769638151, 13.919905226302204 64.44542064071608, 13.571916131248713 64.04911408146971, 12.579935336973934 64.06621898055833, 11.930569288794231 63.12831757267698, 11.992064243221563 61.80036245385655, 12.631146681375185 61.293571682370136, 12.3003658382749 60.11793284773003, 11.468271925511146 59.43239329694604, 11.027368605196868 58.85614940045936, 10.356556837616067 59.469807033925356, 8.382000359743586 58.313288479233215, 7.048748406613271 58.078884182357285, 5.665835402050419 58.5881554225937, 5.308234490590678 59.663231919993834, 4.992078077828978 61.97099803328432, 5.912900424837886 62.614472968182724, 8.553411085655739 63.45400828719648, 10.527709181366758 64.4860383164975, 12.358346795306373 65.87972585719318, 14.761145867581604 67.81064158799516, 16.435927361728943 68.56320547146173, 19.18402835457846 69.81744415961778, 21.378416375420585 70.2551693793461, 23.023742303161526 70.2020718451662, 24.546543409938465 71.03049673123722, 26.37004967622181 70.98626170519539, 28.165547316202943 71.18547435168055, 31.293418409965454 70.4537877468599, 30.005435011522792 70.18625885688489, 31.101042202597625 69.55810108805622)), ((27.407505730913446 80.05640574820042, 25.92465050629815 79.51783397085451, 23.024465773213617 79.40001170522903, 20.075188429451828 79.56682322866722, 19.897266473070914 79.84236196564747, 18.462263624757867 79.85988027619443, 17.368015170977458 80.31889618602698, 20.45599205901064 80.59815562613225, 21.907944777115404 80.35767934846204, 22.91925255706738 80.65714427359343, 25.447625359811866 80.40734039989452, 27.407505730913446 80.05640574820042)), ((24.724120000000003 77.85385, 22.490320000000004 77.44493, 20.726010000000002 77.67704, 21.416110000000003 77.93504, 20.8119 78.25463, 22.884259999999998 78.45494000000001, 23.281340000000004 78.07954, 24.724120000000003 77.85385)))",4.0,4.0,1.0,2.0,3.0,"(22.682486462200686, 79.95814301219743)"
1,67059887.0,Europe,France,FRA,2715518,"MULTIPOLYGON (((-51.65779741067889 4.156232408053029, -52.249337531123956 3.241094468596245, -52.55642473001842 2.504705308437053, -52.939657151894956 2.1248576928756364, -53.41846513529531 2.0533891870159806, -53.554839240113544 2.334896551925951, -53.77852067728892 2.3767027856500818, -54.08806250671725 2.105556545414629, -54.524754197799716 2.3118488631237852, -54.2697051662232 2.7323916691150463, -54.181726040246275 3.1897797713304215, -54.00693050801901 3.6200377465925584, -54.399542202356514 4.212611395683467, -54.47863298197923 4.896755682795586, -53.9580446030709 5.756548163267765, -53.618452928264844 5.6465290389183735, -52.88214128275409 5.409850979021584, -51.8233428615259 4.565768133966131, -51.65779741067889 4.156232408053029)), ((6.186320428094177 49.463802802114515, 6.658229607783568 49.20195831969157, 8.099278598674744 49.01778351500333, 7.593676385131062 48.33301911070372, 7.466759067422231 47.62058197691181, 7.192202182655507 47.44976552997102, 6.736571079138059 47.541801255882845, 6.768713820023606 47.2877082383037, 6.037388950229001 46.725778713561866, 6.022609490593538 46.27298981382047, 6.5000997249704255 46.42967275652944, 6.843592970414505 45.99114655210061, 6.802355177445605 45.70857982032864, 7.096652459347837 45.33309886329589, 6.749955275101655 45.02851797136758, 7.007562290076635 44.25476675066136, 7.549596388386107 44.12790110938481, 7.435184767291872 43.69384491634922, 6.52924523278304 43.128892320318315, 4.556962517931424 43.399650987311595, 3.1004105973526634 43.075200507167054, 2.9859989762584576 42.47301504166986, 1.8267932470871528 42.34338471126569, 0.7015906103638941 42.795734361332606, 0.3380469091905809 42.57954600683955, -1.502770961910528 43.03401439063043, -1.901351284177764 43.42280202897834, -1.384225226232985 44.022610378590116, -1.1937975732374184 46.01491771095486, -2.2257242496738456 47.06436269793822, -2.9632761295596026 47.57032664650795, -4.4915549381594815 47.954954332056374, -4.592349819344776 48.68416046812699, -3.295813971357802 48.90169240985963, -1.6165107893849608 48.64442129169454, -1.933494025063311 49.776341864615745, -0.98946895995536 49.34737580016091, 1.3387610205226963 50.12717316344526, 1.6390010921384996 50.9466063502975, 2.5135730322461427 51.14850617126183, 2.658422071960274 50.796848049515745, 3.1232515804256877 50.78036326761455, 3.588184441755658 50.37899241800356, 4.2860229834250845 49.907496649772554, 4.799221632515724 49.98537303323637, 5.674051954784829 49.529483547557504, 5.897759230176348 49.44266714130711, 6.186320428094177 49.463802802114515)), ((8.746009148807559 42.62812185319392, 9.390000848028876 43.00998484961471, 9.560016310269134 42.15249197037952, 9.229752231491773 41.380006822264455, 8.775723097375362 41.58361196549443, 8.544212680707773 42.25651662858306, 8.746009148807559 42.62812185319392)))",29.0,32.0,31.0,23.0,24.0,"(2.099228142939435, 46.895070705750044)"
2,10285453.0,Europe,Sweden,SWE,530883,"POLYGON ((11.027368605196868 58.85614940045936, 11.468271925511146 59.43239329694604, 12.3003658382749 60.11793284773003, 12.631146681375185 61.293571682370136, 11.992064243221563 61.80036245385655, 11.930569288794231 63.12831757267698, 12.579935336973934 64.06621898055833, 13.571916131248713 64.04911408146971, 13.919905226302204 64.44542064071608, 13.55568973150909 64.78702769638151, 15.108411492583002 66.19386688909547, 16.108712192456778 67.30245555283689, 16.768878614985482 68.0139366726314, 17.729181756265348 68.01055186631628, 17.993868442464333 68.56739126247736, 19.878559604581255 68.40719432237258, 20.025268995857886 69.0651386583127, 20.645592889089528 69.10624726020087, 21.978534783626117 68.6168456081807, 23.53947309743444 67.93600861273525, 23.565879754335583 66.39605093043743, 23.903378533633802 66.00692739527962, 22.18317345550193 65.72374054632017, 21.21351687997722 65.02600535751527, 21.369631381930958 64.41358795842429, 19.77887576669022 63.60955434839504, 17.84777916837521 62.74940013289681, 17.119554884518124 61.34116567651097, 17.83134606290639 60.63658336042741, 18.78772179533209 60.081914374422595, 17.86922488777634 58.9537661810587, 16.829185011470088 58.71982697207339, 16.447709588291474 57.041118069071885, 15.879785597403783 56.10430186626866, 14.666681349352075 56.200885118222175, 14.100721062891465 55.40778107362265, 12.942910597392057 55.36173737245058, 12.625100538797028 56.30708018658197, 11.787942335668674 57.44181712506307, 11.027368605196868 58.85614940045936))",8.0,10.0,9.0,9.0,7.0,"(14.786243427055595, 62.27488129337668)"
3,9466856.0,Europe,Belarus,BLR,63080,"POLYGON ((28.17670942557794 56.16912995057879, 29.229513380660308 55.91834422466636, 29.371571893030673 55.670090643936184, 29.896294386522356 55.78946320253041, 30.87390913262001 55.55097646750341, 30.971835971813135 55.08154775656404, 30.75753380709872 54.81177094178432, 31.38447228366374 54.15705638286238, 31.79142418796224 53.974638576872124, 31.731272820774507 53.79402944601202, 32.405598585751164 53.61804535584204, 32.69364301934604 53.35142080343218, 32.30451948418823 53.13272614197291, 31.49763999999999 53.16743000000014, 31.305200636528014 53.07399587667321, 31.54001834486226 52.74205231384636, 31.785970000000077 52.1016800000001, 31.78599244755525 52.1016775699397, 30.927549269338982 52.04235342061439, 30.619454380014815 51.822806098022454, 30.555117221811457 51.31950348571566, 30.157363722460897 51.41613841410147, 29.25493818534784 51.36823436136689, 28.992835320763533 51.602044379271476, 28.61761274589225 51.42771393493484, 28.24161502453657 51.57222707783907, 27.454066196408405 51.592303371784396, 26.337958611768556 51.83228872334797, 25.32778771332701 51.91065603291855, 24.553106316839518 51.888461005249184, 24.00507775238418 51.617443956094405, 23.52707075368437 51.57845408793031, 23.508002150168693 52.02364655212473, 23.199493849386187 52.48697744405367, 23.79919884613338 52.69109935160657, 23.80493493011778 53.089731350306074, 23.527535841575002 53.470121568406555, 23.48412763844985 53.91249766704114, 24.450683628037037 53.905702216194754, 25.536353794056993 54.28242340760253, 25.7684326514798 54.84696259217509, 26.58827924979039 55.16717560487167, 26.494331495883756 55.615106919977634, 27.10245975109453 55.783313707087686, 28.17670942557794 56.16912995057879))",59.0,61.0,67.0,73.0,81.0,"(27.78641113896777, 53.70603740092703)"
4,44385155.0,Europe,Ukraine,UKR,153781,"POLYGON ((31.78599244755525 52.1016775699397, 32.15944000000013 52.06125000000014, 32.41205813978769 52.28869497334978, 32.715760532367085 52.23846548116211, 33.75269982273579 52.3350745713318, 34.39173058445709 51.768881740925906, 34.141978387190534 51.566413479206346, 34.22481570815427 51.25599315042888, 35.02218305841791 51.2075723333715, 35.377909999999986 50.773940000000096, 35.356116163887975 50.57719737405904, 36.62616784032542 50.225590928745135, 37.39345950699516 50.38395335550365, 38.01063113785693 49.9156615260747, 38.59498823421342 49.9264619004237, 40.06904000000014 49.60104999999999, 40.080789015469406 49.30742991799934, 39.674649999999986 48.78382000000016, 39.89562000000018 48.23241000000007, 39.738277622238854 47.89893707945197, 38.77057000000008 47.825620000000185, 38.25511233902978 47.54640045835691, 38.223538038899335 47.10218984637595, 37.4251371599899 47.02222056740419, 36.75985477066445 46.69870026304102, 35.82368452326489 46.64596446388714, 34.96234174982385 46.27319651954974, 35.01265897004737 45.73772519982549, 34.861792128174045 45.76818243191957, 34.73201738827845 45.96566573176062, 34.41040172853718 46.005162391728845, 33.69946184910907 46.219572831556434, 33.435988094713366 45.971917370797485, 33.29856733575474 46.08059845639781, 31.744140252415207 46.33334788673733, 31.67530724460255 46.70624502215554, 30.74874881360921 46.583100084004116, 30.377608676888883 46.03241018328572, 29.603289015427436 45.293308010431126, 29.149724969201653 45.464925442072456, 28.67977949393938 45.304030870131704, 28.23355350109904 45.48828318946829, 28.485269402792767 45.5969070501459, 28.65998742037158 45.93998688413164, 28.933717482221596 46.25883047137256, 28.862972446414062 46.43788930926383, 29.07210696789929 46.517677720722496, 29.170653924279804 46.37926239682872, 29.759971958136394 46.34998769793536, 30.024658644335375 46.42393667254504, 29.838210076626297 46.52532583270169, 29.908851759569302 46.67436066343146, 29.559674106573112 46.928582872091326, 29.415135125452736 47.34664520933258, 29.05086795422727 47.5102269557525, 29.12269819511303 47.849095160506465, 28.670891147585166 48.1181485052341, 28.259546746541844 48.15556224221342, 27.522537469195157 48.467119452501116, 26.857823520624805 48.368210761094495, 26.619336785597795 48.22072622333347, 26.19745039236693 48.22088125263035, 25.9459411964024 47.987148749374214, 25.20774336111299 47.89105642352747, 24.866317172960578 47.737525743188314, 24.40205610525038 47.98187775328043, 23.76095828623741 47.985598456405455, 23.142236362406805 48.09634105080695, 22.710531447040495 47.88219391538941, 22.640819939878725 48.150239569687415, 22.085608351334855 48.42226430927179, 22.28084191253356 48.82539215758067, 22.558137648211755 49.085738023467144, 22.776418898212626 49.02739533140962, 22.518450148211603 49.47677358661974, 23.426508416444392 50.30850576435745, 23.92275719574326 50.42488108987874, 24.029985792748903 50.70540660257518, 23.52707075368437 51.57845408793031, 24.00507775238418 51.617443956094405, 24.553106316839518 51.888461005249184, 25.32778771332701 51.91065603291855, 26.337958611768556 51.83228872334797, 27.454066196408405 51.592303371784396, 28.24161502453657 51.57222707783907, 28.61761274589225 51.42771393493484, 28.992835320763533 51.602044379271476, 29.25493818534784 51.36823436136689, 30.157363722460897 51.41613841410147, 30.555117221811457 51.31950348571566, 30.619454380014815 51.822806098022454, 30.927549269338982 52.04235342061439, 31.78599244755525 52.1016775699397))",111.0,123.0,132.0,138.0,133.0,"(30.980774020171626, 48.804606078790414)"
5,37970874.0,Europe,Poland,POL,595858,"POLYGON ((23.48412763844985 53.91249766704114, 23.527535841575002 53.470121568406555, 23.80493493011778 53.089731350306074, 23.79919884613338 52.69109935160657, 23.199493849386187 52.48697744405367, 23.508002150168693 52.02364655212473, 23.52707075368437 51.57845408793031, 24.029985792748903 50.70540660257518, 23.92275719574326 50.42488108987874, 23.426508416444392 50.30850576435745, 22.518450148211603 49.47677358661974, 22.776418898212626 49.02739533140962, 22.558137648211755 49.085738023467144, 21.607808058364213 49.47010732685409, 20.887955356538413 49.32877228453583, 20.415839471119853 49.43145335549977, 19.825022820726872 49.21712535256923, 19.320712517990472 49.571574001659194, 18.90957482267632 49.435845852244576, 18.853144158613617 49.49622976337764, 18.392913852622172 49.98862864847075, 17.64944502123899 50.049038397819956, 17.55456709155112 50.36214590107642, 16.86876915860566 50.47397370055603, 16.719475945714436 50.21574656839354, 16.176253289462267 50.42260732685791, 16.23862674323857 50.69773265237984, 15.490972120839729 50.78472992614321, 15.01699588385867 51.10667409932158, 14.607098422919535 51.74518809671997, 14.685026482815687 52.0899474147552, 14.437599725002201 52.62485016540839, 14.074521111719434 52.98126251892535, 14.353315463934138 53.24817129171297, 14.119686313542559 53.75702912049104, 14.802900424873458 54.05070628520575, 16.36347700365573 54.513158677785725, 17.622831658608675 54.85153595643291, 18.62085859546164 54.68260569927078, 18.696254510175464 54.43871877706929, 19.660640089606403 54.42608388937393, 20.892244500418627 54.31252492941253, 22.731098667092652 54.327536932993326, 23.24398725758951 54.22056671814914, 23.48412763844985 53.91249766704114))",60.0,57.0,46.0,42.0,40.0,"(19.076267455907114, 51.88441732442235)"
6,8877067.0,Europe,Austria,AUT,445075,"POLYGON ((16.979666782304037 48.123497015976305, 16.90375410326726 47.71486562762833, 16.340584344150415 47.71290192320123, 16.534267612380376 47.49617096616912, 16.202298211337364 46.85238597267696, 16.011663852612656 46.6836107448117, 15.137091912504985 46.65870270444703, 14.63247155117483 46.43181732846955, 13.806475457421527 46.509306138691215, 12.376485223040817 46.76755910906985, 12.153088006243054 47.11539317482645, 11.16482791509327 46.94157949481273, 11.048555942436536 46.75135854754634, 10.44270145024663 46.89354625099743, 9.932448357796659 46.92072805438296, 9.479969516649021 47.102809963563374, 9.632931756232978 47.34760122332999, 9.59422610844635 47.52505809182027, 9.89606814946319 47.580196845075704, 10.402083774465211 47.30248769793916, 10.544504021861599 47.5663992376538, 11.426414015354737 47.523766181012974, 12.141357456112788 47.703083401065776, 12.620759718484493 47.67238760028441, 12.932626987365948 47.467645575544, 13.02585127122049 47.63758352313583, 12.884102817443875 48.28914581968786, 13.243357374737 48.416114813829054, 13.595945672264437 48.87717194273715, 14.338897739324722 48.55530528420721, 14.901447381254057 48.964401760445824, 15.253415561593982 49.03907420510758, 16.02964725105022 48.73389903420793, 16.499282667718774 48.78580801044511, 16.960288120194576 48.5969823268506, 16.879982944413 48.47001333270947, 16.979666782304037 48.123497015976305))",13.0,12.0,13.0,12.0,10.0,"(14.953149823900707, 47.91918132180231)"
7,9769949.0,Europe,Hungary,HUN,163469,"POLYGON ((22.085608351334855 48.42226430927179, 22.640819939878725 48.150239569687415, 22.710531447040495 47.88219391538941, 22.099767693782837 47.6724392767167, 21.626514926853872 46.99423777931816, 21.02195234547125 46.3160879583519, 20.220192498462836 46.127468980486555, 19.596044549241583 46.17172984474454, 18.82983808764996 45.90887767189193, 18.829824792873946 45.908872358025285, 18.45606245288286 45.75948110613615, 17.630066359129557 45.95176911069419, 16.8825150895953 46.38063182228444, 16.564808383864857 46.50375092221983, 16.370504998447416 46.841327216166505, 16.202298211337364 46.85238597267696, 16.534267612380376 47.49617096616912, 16.340584344150415 47.71290192320123, 16.90375410326726 47.71486562762833, 16.979666782304037 48.123497015976305, 17.48847293464982 47.867466132186216, 17.857132602620027 47.75842886005037, 18.696512892336926 47.880953681014404, 18.77702477384767 48.081768296900634, 19.17436486173989 48.11137889260387, 19.661363559658497 48.26661489520866, 19.769470656013112 48.202691148463614, 20.239054396249347 48.32756724709692, 20.473562045989866 48.562850043321816, 20.801293979584926 48.623854071642384, 21.872236362401736 48.31997081155002, 22.085608351334855 48.42226430927179))",104.0,91.0,75.0,69.0,62.0,"(19.103248422838412, 47.24520437274364)"
8,2657637.0,Europe,Moldova,MDA,11968,"POLYGON ((26.619336785597795 48.22072622333347, 26.857823520624805 48.368210761094495, 27.522537469195157 48.467119452501116, 28.259546746541844 48.15556224221342, 28.670891147585166 48.1181485052341, 29.12269819511303 47.849095160506465, 29.05086795422727 47.5102269557525, 29.415135125452736 47.34664520933258, 29.559674106573112 46.928582872091326, 29.908851759569302 46.67436066343146, 29.838210076626297 46.52532583270169, 30.024658644335375 46.42393667254504, 29.759971958136394 46.34998769793536, 29.170653924279804 46.37926239682872, 29.07210696789929 46.517677720722496, 28.862972446414062 46.43788930926383, 28.933717482221596 46.25883047137256, 28.65998742037158 45.93998688413164, 28.485269402792767 45.5969070501459, 28.23355350109904 45.48828318946829, 28.0544429867754 45.944586086605625, 28.160017937947714 46.37156260841722, 28.128030226359044 46.810476386088254, 27.551166212684848 47.40511709247083, 27.233872918412743 47.82677094175638, 26.924176059687568 48.123264472030996, 26.619336785597795 48.22072622333347))",52.0,55.0,56.0,67.0,71.0,"(28.649038458877627, 47.13761404071195)"
9,19356544.0,Europe,Romania,ROU,250077,"POLYGON ((28.23355350109904 45.48828318946829, 28.67977949393938 45.304030870131704, 29.149724969201653 45.464925442072456, 29.603289015427436 45.293308010431126, 29.62654340995877 45.0353909368624, 29.141611769331835 44.820210272799045, 28.8378577003202 44.913873806328056, 28.558081495891997 43.70746165625813, 27.970107049275075 43.81246816667522, 27.242399529740908 44.175986029632405, 26.065158725699746 43.94349376075127, 25.569271681426926 43.68844472917472, 24.100679152124172 43.74105133724785, 23.332302280376325 43.897010809904714, 22.944832391051847 43.82378530534713, 22.65714969248299 44.23492300066128, 22.4740084164406 44.40922760678177, 22.705725538837356 44.57800283464702, 22.459022251075936 44.7025171982543, 22.14508792490281 44.47842234962059, 21.56202273935361 44.7689472519655, 21.48352623870221 45.18117015235788, 20.874312778413355 45.416375433934235, 20.762174920339987 45.734573065771485, 20.220192498462836 46.127468980486555, 21.02195234547125 46.3160879583519, 21.626514926853872 46.99423777931816, 22.099767693782837 47.6724392767167, 22.710531447040495 47.88219391538941, 23.142236362406805 48.09634105080695, 23.76095828623741 47.985598456405455, 24.40205610525038 47.98187775328043, 24.866317172960578 47.737525743188314, 25.20774336111299 47.89105642352747, 25.9459411964024 47.987148749374214, 26.19745039236693 48.22088125263035, 26.619336785597795 48.22072622333347, 26.924176059687568 48.123264472030996, 27.233872918412743 47.82677094175638, 27.551166212684848 47.40511709247083, 28.128030226359044 46.810476386088254, 28.160017937947714 46.37156260841722, 28.0544429867754 45.944586086605625, 28.23355350109904 45.48828318946829))",86.0,71.0,57.0,52.0,48.0,"(24.2116924300108, 46.03602753354609)"
